marque,modele,annee_i,Type,estimation_eur_f,compatible,direction,baseline_mean_used,init_rule
Citroen,Berlingo,2016,Utilitaire,360.0,1,na,382.5833333333333,year_type_mean
Citroen,Berlingo,2017,Utilitaire,375.0,1,up,,
Citroen,Berlingo,2018,Utilitaire,390.0,1,up,,
Citroen,Berlingo,2019,Utilitaire,405.0,1,up,,
Citroen,Berlingo,2020,Utilitaire,435.0,1,up,,
Citroen,Berlingo,2021,Utilitaire,442.5,1,up,,
Citroen,Berlingo,2022,Utilitaire,570.0,1,up,,
Citroen,Berlingo,2023,Utilitaire,480.0,0,down,,
Citroen,Berlingo,2024,Utilitaire,510.0,1,up,,
Citroen,Berlingo,2025,Utilitaire,555.0,1,up,,
Citroen,C1,2016,Citadine,285.0,1,na,303.375,year_type_mean
Citroen,C1,2017,Citadine,171.0,0,down,,
Citroen,C1,2018,Citadine,180.0,1,up,,
Citroen,C1,2019,Citadine,189.0,1,up,,
Citroen,C1,2020,Citadine,189.0,1,flat,,
Citroen,C1,2021,Citadine,198.0,1,up,,
Citroen,C1,2022,Citadine,198.0,1,flat,,
Citroen,C1,2023,Citadine,207.0,1,up,,
Citroen,C1,2024,Citadine,216.0,1,up,,
Citroen,C1,2025,Citadine,234.0,1,up,,
Citroen,C3,2016,Citadine,330.0,1,na,303.375,year_type_mean
Citroen,C3,2017,Citadine,330.0,1,flat,,
Citroen,C3,2018,Citadine,345.0,1,up,,
Citroen,C3,2019,Citadine,360.0,1,up,,
Citroen,C3,2020,Citadine,375.0,1,up,,
Citroen,C3,2021,Citadine,390.0,1,up,,
Citroen,C3,2022,Citadine,405.0,1,up,,
Citroen,C3,2023,Citadine,420.0,1,up,,
Citroen,C3,2024,Citadine,435.0,1,up,,
Citroen,C3,2025,Citadine,480.0,1,up,,
Citroen,C3 Aircross,2016,SUV,243.0,0,na,330.0,year_type_mean
Citroen,C3 Aircross,2017,SUV,339.0,1,up,,
Citroen,C3 Aircross,2018,SUV,450.0,1,up,,
Citroen,C3 Aircross,2019,SUV,480.0,1,up,,
Citroen,C3 Aircross,2020,SUV,495.0,1,up,,
Citroen,C3 Aircross,2021,SUV,525.0,1,up,,
Citroen,C3 Aircross,2022,SUV,555.0,1,up,,
Citroen,C3 Aircross,2023,SUV,585.0,1,up,,
Citroen,C3 Aircross,2024,SUV,360.0,0,down,,
Citroen,C3 Aircross,2025,SUV,517.5,1,up,,
Citroen,C4,2016,Berline,375.0,1,na,338.25,year_type_mean
Citroen,C4,2017,Berline,390.0,1,up,,
Citroen,C4,2018,Berline,420.0,1,up,,
Citroen,C4,2019,Berline,261.0,0,down,,
Citroen,C4,2020,Berline,270.0,1,up,,
Citroen,C4,2021,Berline,465.0,1,up,,
Citroen,C4,2022,Berline,297.0,0,down,,
Citroen,C4,2023,Berline,306.0,1,up,,
Citroen,C4,2024,Berline,324.0,1,up,,
Citroen,C4,2025,Berline,360.0,1,up,,
Citroen,Jumpy,2016,Utilitaire,435.0,1,na,382.5833333333333,year_type_mean
Citroen,Jumpy,2017,Utilitaire,465.0,1,up,,
Citroen,Jumpy,2018,Utilitaire,480.0,1,up,,
Citroen,Jumpy,2019,Utilitaire,510.0,1,up,,
Citroen,Jumpy,2020,Utilitaire,540.0,1,up,,
Citroen,Jumpy,2021,Utilitaire,570.0,1,up,,
Citroen,Jumpy,2022,Utilitaire,585.0,1,up,,
Citroen,Jumpy,2023,Utilitaire,630.0,1,up,,
Citroen,Jumpy,2024,Utilitaire,660.0,1,up,,
Citroen,Jumpy,2025,Utilitaire,735.0,1,up,,
Citroen,Nemo,2016,Utilitaire,189.0,0,na,382.5833333333333,year_type_mean
Citroen,Nemo,2017,Utilitaire,198.0,1,up,,
Citroen,Nemo,2018,Utilitaire,207.0,1,up,,
Citroen,Nemo,2019,Utilitaire,216.0,1,up,,
Citroen,Nemo,2020,Utilitaire,225.0,1,up,,
Citroen,Nemo,2021,Utilitaire,225.0,1,flat,,
Citroen,Nemo,2022,Utilitaire,234.0,1,up,,
Citroen,Nemo,2023,Utilitaire,243.0,1,up,,
Citroen,Nemo,2024,Utilitaire,252.0,1,up,,
Citroen,Nemo,2025,Utilitaire,279.0,1,up,,
Citroen,SpaceTourer,2016,Utilitaire,333.0,1,na,382.5833333333333,year_type_mean
Citroen,SpaceTourer,2017,Utilitaire,600.0,1,up,,
Citroen,SpaceTourer,2018,Utilitaire,645.0,1,up,,
Citroen,SpaceTourer,2019,Utilitaire,675.0,1,up,,
Citroen,SpaceTourer,2020,Utilitaire,735.0,1,up,,
Citroen,SpaceTourer,2021,Utilitaire,780.0,1,up,,
Citroen,SpaceTourer,2022,Utilitaire,825.0,1,up,,
Citroen,SpaceTourer,2023,Utilitaire,885.0,1,up,,
Citroen,SpaceTourer,2024,Utilitaire,945.0,1,up,,
Citroen,SpaceTourer,2025,Utilitaire,630.0,0,down,,
Opel,Astra,2016,Berline,375.0,1,na,338.25,year_type_mean
Opel,Astra,2017,Berline,390.0,1,up,,
