marque,modele,annee,annee_i,Type,SousType,carburant,carburant_n,tranche_km,n_total,prix_min_w,prix_max_w,prix_moyen_w,prix_median_w,prix_min_estime,prix_max_estime,prix_moyen_estime,prix_median_estime,prix_moyen_final,estimation_eur_f,roi_brut_mensuel,payback_mois,taux_rentabilite,presence_marche_fuel,presence_marche_total,any_error,errors,statut,marque_n,modele_n
Citroen,Berlingo,2016,2016,Utilitaire,Fourgonnette,,diesel,0-50 000 km,9.0,3700.0,12800.0,9249.0,9750.0,3700.0,12800.0,9249.0,9750.0,9249.0,360.0,0.03892312682452157,25.691666666666666,2.335387609471294,9.0,27.0,False,,Mixte (alternances),citroen,berlingo
Citroen,Berlingo,2016,2016,Utilitaire,Fourgonnette,,essence,0-50 000 km,9.0,3700.0,12800.0,9248.0,9750.0,3700.0,12800.0,9248.0,9750.0,9248.0,360.0,0.03892733564013841,25.68888888888889,2.3356401384083045,18.0,27.0,False,,Mixte (alternances),citroen,berlingo
Citroen,Berlingo,2016,2016,Utilitaire,Fourgonnette,,diesel,100-150 000 km,0.0,0.0,0.0,0.0,0.0,7500.0,12500.0,8968.0,8250.0,8968.0,360.0,0.04014272970561998,24.91111111111111,2.408563782337199,9.0,27.0,True,Error: Page.goto: net::ERR_CONNECTION_REFUSED at https://www.autoscout24.be/fr/lst/citroen/berlingo?atype=C&cy=B&ustate=U&damaged_listing=exclude&sort=standard&fregfrom=2016&fregto=2016&kmfrom=100000&kmto=150000,Mixte (alternances),citroen,berlingo
Citroen,Berlingo,2016,2016,Utilitaire,Fourgonnette,,essence,100-150 000 km,0.0,0.0,0.0,0.0,0.0,7500.0,13490.0,9969.0,9999.0,9969.0,360.0,0.03611194703581101,27.691666666666666,2.166716822148661,18.0,27.0,True,Error: Page.goto: net::ERR_CONNECTION_REFUSED at https://www.autoscout24.be/fr/lst/citroen/berlingo?atype=C&cy=B&ustate=U&damaged_listing=exclude&sort=standard&fregfrom=2016&fregto=2016&kmfrom=100000&kmto=150000,Mixte (alternances),citroen,berlingo
Citroen,Berlingo,2016,2016,Utilitaire,Fourgonnette,,diesel,50-100 000 km,0.0,0.0,0.0,0.0,0.0,10890.0,18450.0,13517.0,12675.0,13517.0,360.0,0.026633128652807574,37.547222222222224,1.5979877191684546,9.0,27.0,True,Error: Page.goto: net::ERR_CONNECTION_REFUSED at https://www.autoscout24.be/fr/lst/citroen/berlingo?atype=C&cy=B&ustate=U&damaged_listing=exclude&sort=standard&fregfrom=2016&fregto=2016&kmfrom=50000&kmto=100000,Mixte (alternances),citroen,berlingo
Citroen,Berlingo,2016,2016,Utilitaire,Fourgonnette,,essence,50-100 000 km,9.0,3700.0,12800.0,9248.0,9750.0,3700.0,12800.0,9248.0,9750.0,9248.0,360.0,0.03892733564013841,25.68888888888889,2.3356401384083045,18.0,27.0,False,,Mixte (alternances),citroen,berlingo
Citroen,Berlingo,2017,2017,Utilitaire,Fourgonnette,,diesel,0-50 000 km,0.0,0.0,0.0,0.0,0.0,5595.0,13145.0,9358.0,9250.0,9358.0,375.0,0.04007266509938021,24.954666666666668,2.4043599059628127,8.0,18.0,True,Error: Page.goto: net::ERR_CONNECTION_REFUSED at https://www.autoscout24.be/fr/lst/citroen/berlingo?atype=C&cy=B&ustate=U&damaged_listing=exclude&sort=standard&fregfrom=2017&fregto=2017&kmfrom=0&kmto=50000,Mixte (alternances),citroen,berlingo
Citroen,Berlingo,2017,2017,Utilitaire,Fourgonnette,,essence,0-50 000 km,10.0,5500.0,10999.0,8267.0,8295.0,5500.0,10999.0,8267.0,8295.0,8267.0,375.0,0.04536107415023588,22.045333333333332,2.7216644490141526,10.0,18.0,False,,Mixte (alternances),citroen,berlingo
Citroen,Berlingo,2017,2017,Utilitaire,Fourgonnette,,diesel,100-150 000 km,8.0,7500.0,12500.0,8968.0,8250.0,7500.0,12500.0,8968.0,8250.0,8968.0,375.0,0.04181534344335415,23.914666666666665,2.508920606601249,8.0,18.0,False,,Mixte (alternances),citroen,berlingo
Citroen,Berlingo,2017,2017,Utilitaire,Fourgonnette,,essence,100-150 000 km,0.0,0.0,0.0,0.0,0.0,7500.0,13490.0,9969.0,9999.0,9969.0,375.0,0.03761661149563647,26.584,2.2569966897381883,10.0,18.0,True,Error: Page.goto: net::ERR_CONNECTION_REFUSED at https://www.autoscout24.be/fr/lst/citroen/berlingo?atype=C&cy=B&ustate=U&damaged_listing=exclude&sort=standard&fregfrom=2017&fregto=2017&kmfrom=100000&kmto=150000,Mixte (alternances),citroen,berlingo
